Book Name,Author,Rating,User Rates,Price
Theory of Fun for Game Design,Raph Koster,4.6,211,607.54
Danganronpa Another Episode: Ultra Despair Girls Volume 3,Hajime Touya,4.9,95,134.12
Peppa Pig: Peppa's Busy Day,Peppa Pig,4.7,355,149.81
Peppa Pig: Practise with Peppa: First Phonics: Sticker Activity Book,Peppa Pig,4.5,232,74.81
Sağlıkta Dijital Dönüşüm-Yapay Zeka (AI) ve Nesnelerin İnterneti (IoT),Jülide Güzin Karagöz,3.4,3,17.0
"ALGORİTMA VE PROGRAMLAMA MANTIĞI: Oku, İzle, Dinle, Öğren",Kolektif,3.5,2,60.0
The Art Of The Last Of Us Part Ii,Naughty Dog,4.8,2229,331.9
The Art of Supercell: 10th Anniversary Edition,Supercell,4.8,75,617.78
Uygulamalarla Java Veri Yapıları: JCF (Java Collections Framework),Timur Karaçay,1.0,2,48.91
Microsoft Excel 2019 VBA and Macros (Business Skills),Bill Jelen,4.5,159,570.26
"The Phoenix Project: A Novel about It, Devops, and Helping Your Business Win",Gene Kim,4.7,2517,226.24
Effective Java,Joshua Bloch,4.7,811,620.44
The Road to Conscious Machines: The Story of AI,Michael Wooldridge,4.6,44,206.06
Programlama Dillerinin Prensipleri: Mantığı Kavra >> İşleyişi Öğren >> Kodu Yaz,Nejat Yumuşak-Muhammed Fatih Adak,4.0,1,108.0
Sane New World: Taming the Mind,Ruby Wax,4.5,946,246.67
"The Art of Memory Forensics: Detecting Malware and Threats in Windows, Linux, and Mac Memory",Michael Hale Ligh,4.8,111,904.34
"Practical Reverse Engineering: x86, x64, ARM, Windows Kernel, Reversing Tools, and Obfuscation",Bruce Dang,4.6,114,846.99
"Deep Learning with Python, Second Edition",François Chollet,4.8,14,867.85
ALGORİTMA: Uygulamalı Algoritma Kılavuzu,Kadir Çamoğlu,5.0,1,44.28
The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,4.6,1305,144.83
Effective TypeScript: 62 Specific Ways to Improve Your TypeScript,Dan Vanderkam,4.6,71,569.58
Building Microservices: Designing Fine-Grained Systems,Sam Newman,4.8,36,866.29
"Java: The Complete Reference, Twelfth Edition",Herbert Schildt,5.0,11,845.66
Html ve Css Web Siteleri Tasarlamak ve Oluşturmak,Jon Duckett,3.9,5,100.0
This Is Service Design Doing: Using Research and Customer Journey Maps to Create Successful Services,Marc Stickdorn,4.7,316,610.11
"Biz Anonymous'uz: LulzSec, Anonymous Hacker Dünyasının ve Küresel Siber Ayaklanmanın İçyüzü",Parmy Olson,4.0,2,49.76
C ile PIC Programlama: Uygulamalı Öğretim Serisi,Serdar Çiçek,5.0,1,149.0
"Concepts of Programming Languages, Global Edition",Robert W. Sebesta,4.4,12,395.0
Karar Destek Sistemleri: (Veri Ambarı - Veri Madenciliği - Klinik KDS) Akademik Derleme,Özel Sebetci,1.0,1,44.36
Yeni Nesil Tekniklerle JavaScript,Uğur Gelişken,5.0,4,105.21
Siber Güvenliğe Giriş: Bilgisayar Güvenliği ve İnternet - Araçlar ve Mücevherler,Paul C. Van Oorschot,5.0,1,141.57
"Mobil Oyun Tasarımı ve Programlama: 101 Adet, Toplamda 300 Saat Eğitim Videosu Ücretsiz",Uğur Gelişken,5.0,1,115.0
SAP FI: Türkiye'nin İlk ve Tek Türkçe SAP FI Modülü Kitabı,Rıdvan Akgül,5.0,2,50.79
Data Veri Madenciliği - Veri Analizi,Haldun Akpınar,3.7,3,116.29
JavaScript and JQuery: Interactive Front–End Web Development,Jon Duckett,4.6,1577,559.86
"Product Research Rules: A Foundational Guide for Accurate, Accelerated User Research That Delivers Insights in Four Simple Steps",C. Todd Lombardo,4.7,5,682.09
The Last Of Us: American Dreams,Faith Erin Hicks,4.7,753,165.9
Oracle SQL Analitik SQL ve PL/SQL,Kolektif,4.6,3,63.3
Scratch ile Programlama,Gökhan Su,5.0,1,19.88
"Yeni Başlayanlar İçin Sap Abap 4: Oku, İzle, Dinle, Öğren!",Aytül Korkut Şentürk,4.6,3,46.59
About Face: The Essentials of Interaction Design,Alan Cooper,4.5,237,665.42
Matlab Eğitim Seti: Yapay Zeka ve Mühendislik Uygulamaları,Cemalettin Kubat,5.0,5,85.24
"C++ ile Projeler (CD'li) Oku, İzle, Dinle, Öğren",Tolga Büyüktanır Yıldıray Yarman,3.0,2,47.99
"Brain Wash: Detox Your Mind for Clearer Thinking, Deeper Relationships and Lasting Happiness",David Perlmutter,4.6,614,220.58
"Hacking: The Art Of Exploitation, 2nd Edition",Jon Erickson,4.7,814,465.97
"Digital Image Processing, Global Edition",Rafael C. Gonzalez,4.8,49,359.64
Java ile Android Programlama,Çağlar Artar,5.0,1,44.96
HTML and CSS: Design and Build Websites,Jon Duckett,4.7,3187,393.38
Open Source Intelligence Techniques: Resources for Searching and Analyzing Online Information,Michael Bazzell,4.7,47,651.0
Computer Networks: Pearson New International Edition,Andrew Tanenbaum,4.0,19,450.0
Mastering the Lightning Network: A Second Layer Blockchain Protocol for Instant Bitcoin Payments,Andreas M. Antonopoulos,4.9,12,888.78
